Column1
80
94
61
44
64
76
42
67
49
88
0
40
75
71
0
52
0
57
63
0
57
0
36
51
58
0
55
72
0
45
64
47
0
94
79
59
0
35
0
0
45
84
83
0
51
94
0
64
93
93
67
73
46
0
87
0
73
0
53
90
0
91
62
49
68
0
66
38
44
88
70
67
81
59
0
83
99
71
65
76
0
37
57
56
0
0
61
76
65
89
0
96
0
90
62
44
56
26
0
33
