11479591,3,-1,10378601
10378601,2,-1,9107111
9107111,4,-1,15306121
15306121,2,-1,14034631
14034631,5,-1,12759151
12759151,2,-1,11487661
11487661,3,-1,10386671
10386671,4,-1,16585681
16585681,5,-1,15310201
15310201,1,-1,14034692
14034692,1,-1,12759183
12759183,2,-1,11487693
11487693,3,-1,10386703
10386703,3,-1,9285713
9285713,1,-1,8010204
8010204,2,-1,6738714
6738714,4,-1,12937724
12937724,4,-1,19136734
19136734,3,-1,18035744
18035744,2,-1,16764254
16764254,4,-1,22963264
22963264,5,-1,21687784
21687784,3,-1,20586794
20586794,2,-1,19315304
19315304,1,-1,18039795
18039795,1,-1,16764286
16764286,3,-1,15663296
15663296,1,-1,14387787
14387787,4,-1,20586797
20586797,1,-1,19311288
19311288,1,-1,18035779
18035779,3,-1,16934789
16934789,1,1000000000000,15659280
11479591,4,-1,17678601
17678601,3,-1,16577611
16577611,2,-1,15306121
15306121,2,-1,14034631
14034631,2,-1,12763141
12763141,3,-1,11662151
11662151,3,-1,10561161
10561161,2,-1,9289671
9289671,4,-1,15488681
15488681,3,-1,14387691
14387691,4,-1,20586701
20586701,1,-1,19311192
19311192,3,-1,18210202
18210202,1,-1,16934693
16934693,1,-1,15659184
15659184,4,-1,21858194
21858194,5,-1,20582714
20582714,3,-1,19307234
19307234,1,-1,18031725
18031725,2,-1,16760235
16760235,3,-1,15659245
15659245,1,-1,14383736
14383736,1,-1,13108227
13108227,1,-1,11832718
11832718,1,-1,10557209
10557209,1,1000000000000,9281700
11479591,4,-1,17678601
17678601,2,-1,16407111
16407111,3,-1,15306121
15306121,2,-1,14034631
14034631,3,-1,12933641
12933641,1,-1,11658132
11658132,3,-1,10557142
10557142,5,-1,9281662
9281662,1,-1,8006153
8006153,4,-1,14205163
14205163,1,-1,12929654
12929654,2,-1,11658164
11658164,2,-1,10386673
10386673,1,-1,9111164
9111164,4,-1,15310174
15310174,2,-1,14038684
14038684,3,-1,12937694
12937694,4,-1,19136704
19136704,3,-1,18035714
18035714,2,-1,16764224
16764224,4,-1,22963234
22963234,1,-1,21687725
21687725,1,-1,20412216
20412216,1,-1,19136707
