11479591,1,-1,10204082
10204082,5,-1,8928602
8928602,4,-1,15127612
15127612,1,-1,13852103
13852103,2,-1,12580613
12580613,1,-1,11305104
11305104,1,-1,10029594
10029594,3,-1,8928604
8928604,1,-1,7653095
7653095,4,-1,13852104
13852104,2,-1,12580614
12580614,1,-1,11305105
11305105,2,-1,10033615
10033615,1,-1,8758106
8758106,1,-100,8758106
8758106,3,-1,7657116
7657116,3,-1,6556126
6556126,1,-1,5280617
5280617,1,-1,4005108
4005108,3,-1,2904117
2904117,1,-1,1628608
1628608,4,-1,7827618
7827618,1,-1,6552109
6552109,1,1000000000000,5276600
11479591,2,-1,10208101
10208101,4,-1,16407111
16407111,1,-1,15131552
15131552,2,-1,13860062
13860062,1,-1,12584553
12584553,2,-1,11313063
11313063,2,-1,10041573
10041573,4,-100,10041573
10041573,1,-1,8766064
8766064,3,-1,7665074
7665074,3,-1,6564084
6564084,1,-1,5288535
5288535,3,-1,4187545
4187545,1,-1,2912035
2912035,3,-1,1811045
1811045,4,-1,8010055
8010055,1,-1,6734546
6734546,1,-1,5459037
5459037,1,-1,4183557
4183557,4,-1,2908077
2908077,4,-1,9107087
9107087,2,-1,7835597
7835597,1,-1,6560088
6560088,1,-1,5284579
5284579,1,1000000000000,4009070
11479591,2,-1,10208101
10208101,4,-1,16407111
16407111,5,-1,15131631
15131631,3,-1,14030641
14030641,4,-1,12755161
12755161,4,-1,18954171
18954171,2,-1,17682681
17682681,1,-1,16407172
16407172,1,-1,15131692
15131692,1,-1,13856183
13856183,4,-1,20055193
20055193,3,-1,18954203
18954203,3,-1,17853213
17853213,2,-1,16581723
16581723,2,-1,15310233
15310233,1,-1,14034724
14034724,5,-1,12759244
12759244,3,-1,11658253
11658253,4,-1,17857263
17857263,1,-1,16581754
16581754,5,-1,15306274
15306274,5,-1,14030794
14030794,3,-1,12929804
12929804,2,-1,11658314
11658314,1,-1,10382805
10382805,3,-1,9281815
9281815,1,-1,8006306
8006306,2,-1,6734816
6734816,4,-1,12933826
12933826,4,-1,19132836
19132836,1,-1,17857327
17857327,2,-1,16585837
16585837,3,-1,15484847
15484847,1,-1,14209338
14209338,1,-1,12933829
12933829,4,-1,19132839
19132839,1,1000000000000,17857330
11479591,1,-1,10204032
10204032,3,-1,9103042
9103042,5,-1,7827532
7827532,1,-1,6552023
6552023,3,-1,5451033
5451033,5,-1,4175553
4175553,3,-100,4175553
4175553,2,-1,2904063
2904063,4,-1,9103073
9103073,3,-1,8002083
8002083,5,-1,6726603
6726603,2,-1,5455113
5455113,4,-1,11654123
11654123,1,-1,10378614
10378614,5,-1,9103134
9103134,1,-1,7827625
7827625,2,-1,6556135
6556135,2,-1,5284645
5284645,1,-1,4009136
4009136,3,-1,2908146
2908146,5,-1,1632665
1632665,4,-1,7831675
7831675,4,-1,14030685
14030685,2,-1,12759195
12759195,1,-1,11483686
11483686,4,-1,17682696
17682696,1,-1,16407187
16407187,1,-1,15131678
15131678,3,-1,14030688
14030688,3,-1,12929698
12929698,1,-1,11654099
11654099,1,1000000000000,10378590
11479591,3,-1,10378601
10378601,1,-1,9103092
9103092,2,-1,7831602
7831602,3,-1,6730612
6730612,1,-1,5455103
5455103,1,-1,4179594
4179594,2,-1,2908104
2908104,5,-1,1632624
1632624,4,-1,7831634
7831634,3,-1,6730644
6730644,1,-1,5455135
5455135,1,-1,4179626
4179626,1,-1,2904117
2904117,4,-1,9103127
9103127,2,-1,7831637
7831637,1,-1,6556128
6556128,1,-1,5280619
5280619,1,1000000000000,4005110
11479591,5,-1,10204111
10204111,3,-1,9103051
9103051,2,-1,7831561
7831561,4,-1,14030571
14030571,4,-1,20229581
20229581,2,-1,18958091
18958091,5,-1,17682611
17682611,4,-1,16407131
16407131,3,-1,15306141
15306141,3,-1,14030661
14030661,2,-1,12755181
12755181,1,-1,11479672
11479672,2,-1,10208182
10208182,2,-1,8936692
8936692,3,-1,7835702
7835702,3,-1,6734712
6734712,1,-1,5459203
5459203,4,-1,11658213
11658213,1,-1,10382704
10382704,2,-1,9111214
9111214,1,-1,7835705
7835705,1,-1,6560196
6560196,2,-1,5284716
5284716,1,-1,4009207
4009207,3,-1,2903717
2903717,4,-1,1628237
1628237,4,-1,7827247
7827247,1,-1,6551738
6551738,5,-1,5276258
5276258,5,-1,4000778
4000778,1,-1,2725269
2725269,2,-1,1453779
1453779,1,1000000000000,178270
11479591,5,-1,10204111
10204111,1,-1,8928602
8928602,5,-1,7653122
7653122,2,-1,6381632
6381632,3,-1,5106152
5106152,2,-1,3834662
3834662,1,-1,2559152
2559152,3,-1,1458162
1458162,4,-1,7657172
7657172,2,-1,6385682
6385682,1,-1,5110173
5110173,4,-1,11309183
11309183,5,-1,10033702
10033702,1,-1,8758193
8758193,3,-1,7657203
7657203,1,-1,6381694
6381694,2,-1,5110204
5110204,2,-1,3838714
3838714,3,-1,2737614
2737614,4,-1,8936624
8936624,4,-1,15135634
15135634,4,-1,13860154
13860154,1,-1,12584645
12584645,1,-1,11309136
11309136,1,-1,10033627
10033627,3,-1,8932637
8932637,4,-1,15131647
15131647,3,-1,14030657
14030657,3,-1,12755177
12755177,5,-1,11479697
11479697,1,-1,10204188
10204188,3,-1,9103198
9103198,1,-1,7827689
7827689,1,1000000000000,6552180
11479591,4,-1,17678601
17678601,1,-1,16403092
16403092,2,-1,15131602
15131602,3,-1,14030612
14030612,1,-1,12755103
12755103,1,-1,11479594
11479594,4,-1,17678604
17678604,2,-1,16407114
16407114,1,-1,15131605
15131605,1,-1,13856096
13856096,1,-1,12580537
12580537,4,-1,18779547
18779547,2,-1,17503557
17503557,3,-1,16402567
16402567,3,-1,15301577
15301577,1,-1,14026068
14026068,2,-1,12754578
12754578,1,-1,11479069
11479069,1,1000000000000,10201560
11479591,2,-1,10208101
10208101,2,-1,8936611
8936611,1,-1,7661102
7661102,1,-1,6385593
6385593,3,-1,5284603
5284603,3,-1,4183613
4183613,5,-1,2908133
2908133,1,-1,1632624
1632624,5,-1,357144
357144,5,-100,357144
357144,4,-1,6556154
6556154,1,-1,5280644
5280644,2,-1,4009154
4009154,1,-1,2733645
2733645,4,-1,8932655
8932655,1,-1,7657146
7657146,1,-1,6381637
6381637,1,-1,5106128
5106128,3,-1,4005138
4005138,1,-1,2729629
2729629,1,1000000000000,1454120
11479591,3,-1,10378601
10378601,2,-1,9107111
9107111,1,-1,7831602
7831602,4,-1,14030612
14030612,4,-1,20229622
20229622,3,-1,19128632
19128632,4,-1,25327642
25327642,3,-1,24226652
24226652,1,-1,22951143
22951143,2,-1,21675663
21675663,2,-1,20404173
20404173,2,-1,19132683
19132683,1,-1,17857174
17857174,4,-1,24056184
24056184,4,-1,30255194
30255194,4,-1,36454204
36454204,1,-1,35178695
35178695,3,-1,33903215
33903215,3,-1,32802225
32802225,2,-1,31530735
31530735,1,-1,30255226
30255226,1,-1,28979717
28979717,1,-1,27704208
27704208,3,-1,26603218
26603218,1,-1,25327709
25327709,1,-1,24052229
24052229,1,1000000000000,22776720
11479591,2,-1,10208101
10208101,1,-1,8932592
8932592,3,-1,7831602
7831602,5,-1,6556122
6556122,3,-1,5455132
5455132,4,-1,4179652
4179652,3,-1,3078572
